day_of_week,table_slot,table_size,slope,intercept,observation_count,,,0.1,0.2,0.4,0.2,0.1,,
2,17:00,2,6.41E-09,0.9885430256,2003,,,,,,,,,
2,17:00,4,3.26E-08,0.9410542181,1969,,,,,,,,,
2,17:30,2,1.99E-08,0.9627284906,2004,,,,,,,,,
2,17:30,4,3.47E-08,0.9360117205,1979,,,,,,,,,
2,18:00,2,1.26E-07,0.703102897,2004,,,,,,,,,
2,18:00,4,2.72E-07,0.4299668032,1979,,,,,,,,,
2,19:00,2,4.32E-08,0.02502884719,2004,,,,,,,,,
2,19:00,4,4.24E-07,-0.02809919013,1979,,,,,,,,,
2,19:30,2,2.76E-07,0.3254127146,2004,,,,,,,,,
2,19:30,4,3.94E-07,0.0644224519,1979,,,,,,,,,
2,20:00,2,3.43E-08,0.8245812941,2004,,,,,,,,,
2,20:00,4,3.48E-07,2.13E-05,1979,,,,,,,,,
2,20:30,2,2.79E-07,0.3318199069,2004,,,,,,,,,
2,20:30,4,-2.00E-08,0.03674616204,1979,,,,,,,,,
2,21:00,2,3.22E-08,0.9361419347,2004,,,,,,,,,
2,21:00,4,1.09E-07,0.6522317528,1979,,,,,,,,,
2,21:30,2,3.62E-08,0.9301580573,2004,,,,,,,,,
2,21:30,4,3.40E-07,0.08343967198,1979,,,,,,,,,
2,22:00,2,0,1,2004,,,,,,,,,
2,22:00,4,0,1,1979,,,,,,,,,
2,22:30,2,0,1,2004,,,,,,,,,
2,22:30,4,0,1,1979,,,,,,,,,
2,22:45,2,-6.03E-09,0.8767138879,2018,,,,,,,,,
2,23:00,2,0,1,2019,,,,,,,,,
2,23:00,4,0,1,1985,,,,,,,,,
3,8:00,2,0,1,1972,,,,,,,,,
3,8:00,4,2.15E-09,0.9961677078,1950,,,,,,,,,
3,8:30,2,6.74E-09,0.9861176895,1972,,,,,,,,,
3,8:30,4,0,1,1950,,,,,,,,,
3,9:00,2,1.28E-07,0.7608179317,1972,,,,,,,,,
3,9:00,4,6.57E-08,0.8757757,1950,,,,,,,,,
3,9:30,2,2.26E-09,0.9960178134,1972,,,,,,,,,
3,9:30,4,7.45E-08,0.8569819334,1950,,,,,,,,,
3,10:00,2,5.92E-09,0.9871586223,1972,,,,,,,,,
3,10:00,4,0,1,1950,,,,,,,,,
3,10:30,2,0,1,1972,,,,,,,,,
3,10:30,4,6.33E-10,0.9986570702,1950,,,,,,,,,
3,10:45,2,5.66E-08,0.8701573617,1986,,,,,,,,,
3,10:45,4,-1.32E-08,0.8367872828,1950,,,,,,,,,
3,11:30,2,1.12E-09,0.9980271463,1988,,,,,,,,,
